17
#n	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F17	F18	
52	25	0	0	3	1	0	25	326	150	16.66666667	0.576923077	135	14	1	0	0	C1
135	108	0	0	115	0	0	108	1872	419	25.77565632	0.222222222	0	19	0	0	0	C1
108	70	0	0	19	0	4	66	1045	496	14.11290323	0.277777778	17	19	0	0	1	C1
123	4	0	2	16	1	0	4	519	378	1.058201058	0.243902439	190	23	1	0	0	C2
77	30	0	0	0	0	0	30	416	236	12.71186441	0.38961039	116	24	1	0	0	C2
144	24	0	20	18	0	5	19	626	361	6.648199446	0.208333333	15	11	0	0	0	C1
75	10	0	20	20	1	0	10	398	193	5.18134715	0.4	0	23	0	0	0	C2
150	12	0	8	152	0	0	12	1600	464	2.586206897	0.2	21	50	2	0	0	C4
82	3	0	0	0	0	3	0	207	192	1.5625	0.365853659	93	50	2	0	1	C4
30	29	0	0	0	0	0	29	318	144	20.13888889	1	64	50	2	0	1	C4
11	2	0	0	0	0	0	2	53	41	4.87804878	2.727272727	148	24	0	0	1	C2
102	45	8	0	2	1	6	39	939	656	6.859756098	0.294117647	200	37	0	0	0	C4
82	10	0	0	0	0	0	10	313	253	3.95256917	0.365853659	286	28	1	0	1	C3
103	14	0	13	5	0	1	13	523	405	3.456790123	0.291262136	111	20	0	0	0	C2
61	25	0	12	1	0	1	24	376	220	11.36363636	0.491803279	157	18	1	0	0	C1
66	8	0	0	0	0	0	8	256	208	3.846153846	0.454545455	286	24	1	0	1	C2
113	60	0	4	1	0	1	59	778	412	14.5631068	0.265486726	111	20	0	0	0	C2
17	10	0	2	1	1	0	10	170	98	10.20408163	1.764705882	125	18	0	0	1	C1
103	33	0	0	0	0	0	33	568	370	8.918918919	0.291262136	107	19	1	0	1	C1
107	1	0	0	8	0	0	1	377	315	0.317460317	0.280373832	107	19	1	0	1	C1
238	9	0	4	0	0	0	4	544	520	1.730769231	0.12605042	178	22	1	0	0	C2
32	7	0	0	3	0	0	7	208	145	4.827586207	0.9375	52	25	0	0	1	C3
91	6	0	0	3	0	4	2	305	252	2.380952381	0.32967033	0	31	0	0	0	C4
162	12	0	0	11	2	0	12	628	469	2.558635394	0.185185185	139	21	1	0	0	C2
39	11	0	0	2	0	0	11	193	113	9.734513274	0.769230769	0	32	1	0	1	C4
92	87	0	0	212	10	0	87	2551	495	17.57575758	0.326086957	238	19	0	0	0	C1
51	8	0	0	142	0	0	8	1237	195	4.102564103	0.588235294	205	22	1	0	1	C2
105	77	0	0	29	4	25	52	1114	454	16.96035242	0.285714286	82	17	1	0	0	C1
163	4	0	5	43	1	0	4	832	502	0.796812749	0.18404908	47	23	3	0	0	C2
22	12	0	0	0	0	1	11	137	66	18.18181818	1.363636364	47	16	3	0	0	C1
109	63	0	0	27	1	0	63	990	418	15.07177033	0.275229358	398	22	1	0	0	C2
120	111	0	0	24	0	0	111	1353	519	21.38728324	0.25	374	22	1	0	0	C2
